date,belem,carateua,co_arapiranga,combu,cotijuba,da-barra,da-cintra,das-oncas,grande,jutuba,mirim,mosqueiro,murucutu,paqueta,sao-pedro
2019-02-22,2.956689644576695e-05,3.526231758885034e-05,3.19981496211157e-05,3.191177607680807e-05,3.5830373782372825e-05,3.725475835381076e-05,2.864905682928794e-05,3.219801854271478e-05,3.37517784276573e-05,3.809029841358803e-05,3.2442344056304794e-05,3.175980288944179e-05,3.1180278342813204e-05,3.355976718245134e-05,3.285607982768977e-05
2019-02-23,3.262749404557492e-05,3.607997588165388e-05,4.257847564339023e-05,4.0014795135255625e-05,4.160151785159557e-05,4.507732741171462e-05,3.871460653504964e-05,3.633228386249292e-05,4.1170915383226034e-05,3.647032772232655e-05,4.2076071867337915e-05,3.5558432789635056e-05,4.1707028126358236e-05,4.067249573936085e-05,3.606539888837735e-05
2019-02-24,3.142718047228377e-05,3.331676789126076e-05,3.902587357161405e-05,3.4794751781467705e-05,3.791334828256675e-05,3.768104563198269e-05,3.447403941138913e-05,3.426913832612592e-05,3.56133317741418e-05,3.383606313402937e-05,3.792611368946765e-05,3.21962407837469e-05,3.598901920655854e-05,3.7234413579236995e-05,3.334719617158741e-05
2019-02-25,3.0226866898992622e-05,3.055355990086763e-05,3.5473271499837875e-05,2.957470842767979e-05,3.422517871353793e-05,3.0284763852250762e-05,3.023347228772862e-05,3.220599278975891e-05,3.005574816505758e-05,3.120179854573218e-05,3.377615551159739e-05,2.883404877785875e-05,3.027101028675885e-05,3.3796331419113134e-05,3.062899345479747e-05
2019-02-26,3.733074021009304e-05,3.587152795065997e-05,4.330691475753234e-05,3.766717605911629e-05,3.206062144297887e-05,3.681629955554175e-05,3.928597628246881e-05,3.5832337222574e-05,3.760911458237532e-05,3.7807790978116195e-05,3.673954415717162e-05,3.7614045786887705e-05,3.958316385787223e-05,3.64102741471879e-05,3.982890953897173e-05
2019-02-27,3.901713759098951e-05,3.550435011373423e-05,3.673130384961701e-05,3.595620306703078e-05,3.8594680026643804e-05,4.066918283264059e-05,3.460363436136681e-05,3.8194947833178664e-05,3.511108115783148e-05,2.1142097786807472e-05,3.340110401011638e-05,3.184679275506604e-05,3.586382459634227e-05,3.902303422118087e-05,3.140038190598221e-05
2019-02-28,3.5210370645840615e-05,4.0205676207637145e-05,3.800584038325292e-05,3.203293203912674e-05,2.937842116593475e-05,3.27661182382144e-05,3.962293331374402e-05,3.409347664686641e-05,3.441868984529264e-05,3.1273102802331545e-05,3.426919416036804e-05,3.034338037869039e-05,3.068148477738092e-05,3.2993422298427626e-05,2.5040806576726023e-05
2019-03-01,3.04322503176312e-05,2.831927094507702e-05,2.95211246363145e-05,3.379768169471748e-05,2.914369147302182e-05,3.556692239324815e-05,3.331341022938219e-05,2.839316278319768e-05,3.0401545898278332e-05,2.948943483372037e-05,3.0986344892158755e-05,2.73695769905272e-05,3.1311361196922665e-05,2.909492128025797e-05,2.944655121435351e-05
2019-03-02,3.682992791225311e-05,3.826799548265558e-05,3.56529530588564e-05,3.0471343318113183e-05,3.565161294889932e-05,4.033884233485105e-05,3.193606623090045e-05,3.563371546320594e-05,3.1444922823586534e-05,3.5409324514435946e-05,3.491218740236945e-05,3.082711275227662e-05,3.0611619770684266e-05,3.494989071789894e-05,3.096834718149912e-05
2019-03-03,3.929825756918674e-05,3.5445505317691774e-05,3.776482432802798e-05,3.573053588227466e-05,3.547045552529437e-05,4.511076227645395e-05,3.2480049565517476e-05,3.843442800452765e-05,3.1414058206858605e-05,3.328559978399426e-05,4.4548131263846934e-05,3.546807581475571e-05,3.2542148728931434e-05,3.428600230675828e-05,3.1801787724180734e-05
